date,loc,avr_temp,min_temp,max_temp
2017-01-01,143,3.4,-2,10
2017-01-02,143,5.3,-0.4,12.3
2017-01-03,143,5.2,0.9,10.9
2017-01-04,143,3.9,-1.9,11.2
2017-01-05,143,3.4,-1.6,7.6
2017-01-06,143,4.9,0.7,8.4
2017-01-07,143,3.3,-2.7,8.1
2017-01-08,143,7.4,4.4,13
2017-01-09,143,6.2,2.2,9.4
2017-01-10,143,1.7,-0.7,5.5
2017-01-11,143,-0.7,-4.6,3.3
2017-01-12,143,1.2,-3.9,8.2
2017-01-13,143,-0.6,-3.2,4.7
2017-01-14,143,-4.3,-6.8,-0.7
2017-01-15,143,-3.3,-8.2,2.8
2017-01-16,143,-1.4,-7.2,5.6
2017-01-17,143,-1,-7.8,7.1
2017-01-18,143,2.1,-3.3,6.6
2017-01-19,143,1.2,-4.3,8.3
2017-01-20,143,-0.7,-3.7,1.8
2017-01-21,143,-1.3,-6.8,3.3
2017-01-22,143,-2.7,-5.6,-0.4
2017-01-23,143,-4.4,-7.8,-0.5
2017-01-24,143,-2.6,-6.8,2.4
2017-01-25,143,-2.2,-9,4.4
2017-01-26,143,-0.3,-8.6,8.1
2017-01-27,143,3.7,-0.2,7.9
2017-01-28,143,2,-5.6,9.7
2017-01-29,143,3.9,1.1,6.3
2017-01-30,143,0.8,-3.3,4.8
2017-01-31,143,-0.6,-7.3,6.6
2017-02-01,143,0.8,-2,5.5
2017-02-02,143,1.3,-3.5,7.8
2017-02-03,143,4.3,-1,9.7
2017-02-04,143,6.5,-2,13.2
2017-02-05,143,6.1,2.8,12
2017-02-06,143,2.4,-0.3,6.2
2017-02-07,143,1.8,-3.4,8.1
2017-02-08,143,2.4,-1.6,7.9
2017-02-09,143,-1,-4.8,2.5
2017-02-10,143,-3,-5.8,0.5
2017-02-11,143,-2.1,-6.2,2.4
2017-02-12,143,0.7,-4.8,6.5
2017-02-13,143,2.6,-4.6,8.2
2017-02-14,143,2.7,-1.7,8.4
2017-02-15,143,4,-4.7,12.9
2017-02-16,143,8.9,-1.2,17.1
2017-02-17,143,9.3,1.9,14.1
2017-02-18,143,1.3,-2.1,5.4
2017-02-19,143,4.5,-3.6,12.3
2017-02-20,143,5.2,-1.3,9.5
2017-02-21,143,2.7,-4.9,9.7
2017-02-22,143,3.5,1.2,4.9
2017-02-23,143,2.4,-1,5.3
2017-02-24,143,1.7,-3,7.1
2017-02-25,143,4.1,-2.6,10.3
2017-02-26,143,4.8,-1.7,11
2017-02-27,143,5.3,-0.6,12.8
2017-02-28,143,7.1,1.4,13.9
2017-03-01,143,7.5,1.3,13.7
2017-03-02,143,5.2,1.7,8.7
2017-03-03,143,6.2,-0.1,13.3
2017-03-04,143,8.2,1.5,15.8
2017-03-05,143,8.3,1.2,15.9
2017-03-06,143,4.7,0.7,9.1
2017-03-07,143,1.3,-1.6,5.3
2017-03-08,143,2.2,-2.5,6.5
2017-03-09,143,6.6,0.7,13.1
2017-03-10,143,7.3,1.2,13.6
2017-03-11,143,7.9,-1.5,16.8
2017-03-12,143,10.8,1,18.7
2017-03-13,143,10.1,7.7,16.3
2017-03-14,143,8.3,4.6,14
2017-03-15,143,6.6,-0.1,13
2017-03-16,143,8.7,0.8,14.3
2017-03-17,143,9.4,2.1,16.8
2017-03-18,143,10.3,3.1,17.5
2017-03-19,143,10.4,2.3,18.6
2017-03-20,143,8.1,2.2,15
2017-03-21,143,8.9,5.3,15.3
2017-03-22,143,8.9,0.9,15.5
2017-03-23,143,11.4,7.3,17.1
2017-03-24,143,9.7,6.1,14.3
2017-03-25,143,6.3,4,10.4
2017-03-26,143,6.5,4,11.4
2017-03-27,143,6.4,3.3,10.7
2017-03-28,143,8.8,0.4,15.3
2017-03-29,143,9.8,5.4,15.2
2017-03-30,143,11.9,5,20.2
2017-03-31,143,9.3,7.3,11
2017-04-01,143,7.6,5.1,11
2017-04-02,143,9.2,2.1,15.8
2017-04-03,143,13.9,5.3,21.9
2017-04-04,143,15.4,5.3,23.2
